,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball/Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Canoe,Cricket,Croquet,Cycling,Equestrian,Fencing,Hockey,Flag football,Football,Golf,Gymnastics,Handball,Jeu De Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Racquets,Roque,Coastal,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug-Of-War,Beach Volleyball,Volleyball,Motorboating,Weightlifting,Wrestling,Figure Skating,Ice Hockey
AUS,0.0,0.0,0,0.15625,0.5,0.25,0.021739130434782608,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.05555555555555555,0.16666666666666666,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.18181818181818182,0.058823529411764705,0,0,0.0,0,0.0,0.125,0.0,0.0,0,0.5,0.0,0,0.0,0.0,0,0
BRA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
CAN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.25,0.5,0,0.0,0.0,0,0.0,0.0625,0,0
DEN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.09090909090909091,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
FIN,0.0,0.0,0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.09090909090909091,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
FRA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.08333333333333333,0,0.0625,0,0,0.2777777777777778,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0,0.14285714285714285,0,0,0.0,0,0,0,0.0,0.14285714285714285,0,0.0,0.058823529411764705,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
GER,0.0,0.0,0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0,0.0,0,0.0,0,0.25,0,0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.14285714285714285,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
GBR,0.0,0.0,0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0,0.0,0,0.08333333333333333,0,0.0,0,0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.5,0,0,0,0.0,0.14285714285714285,0,0.2727272727272727,0.058823529411764705,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
HUN,0.0,0.0,0,0.03125,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.05555555555555555,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
IRI,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.13333333333333333,0.0625,0,0
ITA,0.0,0.0,0,0.09375,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.125,0,0,0.1111111111111111,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,0,0.07142857142857142,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.09090909090909091,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
JPN,0.0,0.0,0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.2857142857142857,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
NED,0.0,0.0,0,0.15625,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.07142857142857142,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
NZL,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
KOR,0.0,0.0,0,0.0,0.0,0.75,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.375,0.0,0.0,0,0.0,0.0,0,0.0,0.0625,0,0
ESP,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0,0.05555555555555555,0.0,0,0.07142857142857142,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
USA,0.0,0.125,0,0.40625,0.0,0.0,0.15217391304347827,0.0,1.0,0,1.0,0,0.0,0,0.0,0,0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.09090909090909091,0.058823529411764705,0,0,0.0,0,0.0,0.125,0.5,0.0,0,0.5,0.0,0,0.06666666666666667,0.125,0,0
CHN,0.0,0.625,0,0.0,0.0,0.0,0.021739130434782608,0.8,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16666666666666666,0.0,0,0.14285714285714285,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.17647058823529413,0,0,0.0,0,1.0,0.125,0.0,0.0,0,0.0,0.0,0,0.3333333333333333,0.0,0,0
