,Predicted gold medals,Actual gold medals
AUS,6.726473263930529,8.0
BRA,0.35152759970515035,0.0
CAN,0.8711490581044927,0.0
DEN,1.2748830838827416,1.0
FIN,3.8400375091005117,3.0
FRA,4.163864052388817,2.0
GER,3.3794609694741666,0.0
GBR,6.46281319251284,4.0
HUN,6.267057333141565,6.0
IRI,0.2965526906773448,0.0
ITA,6.287019113311544,5.0
JPN,10.213087073992938,13.0
NED,2.8669379447819665,3.0
NZL,1.2075618584058248,1.0
KOR,0.7214244344213512,0.0
ESP,0.4336748074856587,0.0
USA,34.37124487804249,33.0
CHN,2.274607729399577,0.0
ARG,0.2975648499559611,0.0
AUT,0.4417213489068672,0.0
BEL,0.49142325870343484,0.0
BUL,3.5921098500839435,6.0
CUB,2.3192607979872264,3.0
GRE,0.4013404699508101,0.0
IND,0.1283093493548222,0.0
JAM,0.34269685484468937,0.0
MEX,0.10823842551326379,0.0
NOR,1.7558487999485806,2.0
POL,4.444183192943456,7.0
POR,0.05602403270313516,0.0
ROU,2.1252113697119057,3.0
RSA,0.46343955025076866,0.0
SWE,4.835928230546415,4.0
SUI,0.6972109265625477,0.0
TUR,0.6871094524394721,0.0
URS,31.79655600094702,50.0
RUS,1.7732886747689918,0.0
