,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball/Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Canoe,Cricket,Croquet,Cycling,Equestrian,Fencing,Hockey,Flag football,Football,Golf,Gymnastics,Handball,Jeu De Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Racquets,Roque,Coastal,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug-Of-War,Beach Volleyball,Volleyball,Motorboating,Weightlifting,Wrestling,Figure Skating,Ice Hockey
AUS,0.0,0.0,0,0.034482758620689655,0.0,0.0,0.024390243902439025,0,0,0,0.0,0,0.0,0,0.0,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,0,0
BRA,0.0,0.0,0,0.0,0.0,0.0,0.024390243902439025,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
CAN,0.0,0.25,0,0.13793103448275862,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.16666666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06666666666666667,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.09090909090909091,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
DEN,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
FIN,0.0,0.0,0,0.0,0.0,0.0,0.04878048780487805,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.05,0,0
FRA,0.0,0.0,0,0.0,0.0,0.0,0.024390243902439025,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.25,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.09090909090909091,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
GER,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
GBR,0.0,0.0,0,0.0,0.0,0.0,0.07317073170731707,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.09090909090909091,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
HUN,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
IRI,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
ITA,0.0,0.0,0,0.0,0.0,0.0,0.07317073170731707,0,0,0,0.0,0,0.08333333333333333,0,0.0,0,0,0.125,0.0,0.375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,0.07142857142857142,0,0.0,0.09090909090909091,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.1,0.05,0,0
JPN,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0,0.5,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.09090909090909091,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.1,0,0
NED,0.0,0.0,0,0.06896551724137931,0.0,0.0,0.024390243902439025,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.14285714285714285,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
NZL,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.3333333333333333,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.07142857142857142,0,0.2857142857142857,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
KOR,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0,0.0,0,0.08333333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.25,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.1,0,0
ESP,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.14285714285714285,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
USA,1.0,0.5,0,0.6896551724137931,0.0,0.5,0.3902439024390244,0,0,0,1.0,0,0.75,0,0.0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.14285714285714285,0,0.42857142857142855,0.2727272727272727,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.0,0.45,0,0
CHN,0.0,0.25,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.125,0.0,0.0,0.0,0,0.3333333333333333,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.2727272727272727,0,0,0.0,0,0,0,0,0,0,0,0.5,0,0.4,0.0,0,0
