,Predicted gold medals,Actual gold medals
AUS,7.238940631505102,13.0
BRA,0.6957322366361041,1.0
CAN,1.8292145931627601,2.0
DEN,1.223093395412434,1.0
FIN,3.5962373063666746,3.0
FRA,4.581134607549757,4.0
GER,6.268144541885704,6.0
GBR,6.387457062723115,6.0
HUN,6.990382058895193,9.0
IRI,1.4094645023578778,2.0
ITA,7.514441976556554,8.0
JPN,3.8862040808890015,4.0
NED,1.0169357336126268,0.0
NZL,1.5665630354196765,2.0
KOR,0.3418658916489221,0.0
ESP,0.35079110536025837,0.0
USA,30.846093866508454,32.0
CHN,1.895846444182098,0.0
ARG,0.2474305722862482,0.0
AUT,0.30898887719376944,0.0
BEL,0.3915829793259036,0.0
BUL,1.0558102151262574,1.0
CUB,0.6946880731848069,0.0
GRE,0.3592518965015188,0.0
IND,0.7140336503216531,1.0
JAM,0.29760516341775656,0.0
MEX,0.49823847686639056,1.0
NOR,1.3444072587881237,1.0
POL,1.306255607836647,1.0
POR,0.04859774303622544,0.0
ROU,2.8854689224390313,5.0
RSA,0.3512421085033566,0.0
SWE,6.886012009344995,8.0
SUI,0.684297269792296,0.0
TUR,2.0831965207471512,3.0
URS,24.077606405015104,37.0
RUS,1.4902719761012122,0.0
