,Predicted gold medals,Actual gold medals
AUS,6.525967576541007,0.0
BRA,0.7237826497876085,0.0
CAN,1.9947619570884854,0.0
DEN,1.290254428226035,1.0
FIN,4.495002188021317,4.0
FRA,5.967812796123326,2.0
GER,6.137771119363606,0.0
GBR,10.055350546725094,3.0
HUN,7.765305223991163,4.0
IRI,0.2955363668734208,0.0
ITA,5.946901466231793,2.0
JPN,8.239133889321238,9.0
NED,2.7672440201276913,0.0
NZL,1.9564746459946036,2.0
KOR,0.7793889507593121,1.0
ESP,0.4228919077431783,0.0
USA,34.65509758191183,34.0
CHN,6.800780738471076,0.0
ARG,0.9300863593816757,0.0
AUT,0.42659200142952614,0.0
BEL,0.46289934747619554,0.0
BUL,1.3498096000403166,6.0
CUB,1.5400897457147948,6.0
GRE,0.5243081527296454,0.0
IND,0.12697542455862276,0.0
JAM,0.3336785165593028,1.0
MEX,0.10666137165389955,1.0
NOR,1.583841277868487,1.0
POL,1.8501042988500558,7.0
POR,0.16943550819996744,0.0
ROU,0.9723091440973803,4.0
RSA,0.47313676169142127,0.0
SWE,5.133255166001618,4.0
SUI,1.272670335136354,1.0
TUR,0.6867850940325297,0.0
URS,16.871352018322796,49.0
RUS,1.7692425689892843,0.0
