,Predicted gold medals,Actual gold medals
AUS,0.720516518689692,0.0
BRA,0.07213669701013714,0.0
CAN,0.9340947705786675,1.0
DEN,1.4840241118799895,3.0
FIN,2.000898864120245,2.0
FRA,8.555928595364094,15.0
GER,3.0206449194811285,4.0
GBR,6.219046235783026,8.0
HUN,2.5130013786256313,2.0
IRI,0.0589341688901186,0.0
ITA,5.640124275814742,7.0
JPN,0.4628981268033385,0.0
NED,0.5338641158305109,0.0
NZL,0.21249650255776942,0.0
KOR,0.29102620799676515,0.0
ESP,0.14741752238478512,0.0
USA,13.018767330795527,12.0
CHN,0.9051332508679479,0.0
ARG,0.06391156814061105,0.0
AUT,0.9088551290042233,2.0
BEL,1.5688609775388613,2.0
BUL,0.1579849071567878,0.0
CUB,0.10690369224175811,0.0
GRE,3.117491382290609,7.0
IND,0.022930801700567827,0.0
JAM,0.1893851039931178,0.0
MEX,0.013536364771425724,0.0
NOR,0.9737203777767718,1.0
POL,0.41096448560710996,0.0
POR,0.03243772289715707,0.0
ROU,0.4411489316262305,0.0
RSA,0.17613447993062437,0.0
SWE,2.3020392265170813,2.0
SUI,2.429221467114985,4.0
TUR,0.11822701705386862,0.0
URS,1.6115222179796547,0.0
RUS,0.7165509723126888,0.0
