,Predicted gold medals,Actual gold medals
AUS,6.3525066981092095,2.0
BRA,0.43256149819353595,2.0
CAN,3.1441661186981946,0.0
DEN,1.642620118043851,2.0
FIN,3.845311739714816,3.0
FRA,7.927821437828243,6.0
GER,6.0020325793884695,0.0
GBR,8.489808359649032,5.0
HUN,6.931975270854309,7.0
IRI,0.3038760513300076,0.0
ITA,8.546597973443568,8.0
JPN,3.561643269844353,0.0
NED,5.173180894576944,0.0
NZL,2.5314946211874485,0.0
KOR,1.4527928465977311,0.0
ESP,1.3625796702690423,1.0
USA,30.535020794719458,0.0
CHN,5.525897876359522,0.0
ARG,1.7973069821018726,0.0
AUT,0.4405719499918632,1.0
BEL,0.5011706987279467,1.0
BUL,0.6117322774371132,8.0
CUB,1.5549356374540366,8.0
GRE,0.474586168769747,1.0
IND,0.2354029467678629,1.0
JAM,0.34269685484468937,0.0
MEX,0.10767769545782357,0.0
NOR,1.2898763980483636,0.0
POL,1.5372301362804137,3.0
POR,0.05533108476083726,0.0
ROU,2.6621363459853455,6.0
RSA,0.5014064963907003,0.0
SWE,3.2074104035273194,3.0
SUI,0.7737951586022973,2.0
TUR,4.804653254104778,0.0
URS,18.143403372494504,80.0
RUS,1.7928514756495133,0.0
