,Predicted gold medals,Actual gold medals
AUS,1.181000990793109,0.0
BRA,0.13855510405846871,0.0
CAN,1.9586272991728038,3.0
DEN,0.7229530558688566,1.0
FIN,5.920593391638249,9.0
FRA,5.633056549355388,7.0
GER,4.322893800679594,5.0
GBR,8.003251983318478,10.0
HUN,3.1119496412575245,3.0
IRI,0.0716350635048002,0.0
ITA,3.571218275697902,3.0
JPN,0.6416164641268551,0.0
NED,0.5910868621431291,0.0
NZL,0.2928440506220795,0.0
KOR,0.2942790768283885,0.0
ESP,0.2862712666974403,0.0
USA,24.00767154013738,25.0
CHN,1.4166594911366701,0.0
ARG,0.07531722693238407,0.0
AUT,0.15415353554999456,0.0
BEL,1.0772863249585498,2.0
BUL,0.19130040489835665,0.0
CUB,0.1404922956135124,0.0
GRE,0.9253249593311921,1.0
IND,0.027821858238894492,0.0
JAM,0.27055014856159687,0.0
MEX,0.053006493544671685,0.0
NOR,2.9045412549749017,4.0
POL,0.5013512133446056,0.0
POR,0.041785946232266724,0.0
ROU,0.4480334798572585,0.0
RSA,2.158112890087068,4.0
SWE,14.13861592207104,24.0
SUI,0.4991121523780748,0.0
TUR,0.14900011534336954,0.0
URS,1.8324774004286155,0.0
RUS,0.8666897565126419,0.0
