,Predicted gold medals,Actual gold medals
AUS,5.356023099273443,6.0
BRA,0.3135776441777125,0.0
CAN,1.3698465450434014,1.0
DEN,1.6667610019212589,2.0
FIN,3.1733147780178115,3.0
FRA,3.1204822435975075,1.0
GER,8.459197661373764,10.0
GBR,5.526968193706125,4.0
HUN,8.124996401253156,10.0
IRI,0.23516768612898886,0.0
ITA,8.931056570261717,10.0
JPN,10.624469876755029,16.0
NED,2.3484025376383215,2.0
NZL,2.042328209732659,3.0
KOR,0.3914421637891792,0.0
ESP,0.3657014424679801,0.0
USA,32.822576510719955,36.0
CHN,1.958038497949019,0.0
ARG,0.2632261395920068,0.0
AUT,0.32830890238983557,0.0
BEL,1.5648442294332199,2.0
BUL,1.7230128076625988,3.0
CUB,0.7666764993336983,0.0
GRE,0.3669115488883108,0.0
IND,0.5840688395546749,1.0
JAM,0.32466017827391624,0.0
MEX,0.09765145531855524,0.0
NOR,0.7361748623661697,0.0
POL,4.454918990668375,7.0
POR,0.053330696013290435,0.0
ROU,1.7092576487921178,2.0
RSA,0.39302195329219103,0.0
SWE,3.746746697463095,2.0
SUI,1.1570958010852337,1.0
TUR,1.6794719411991537,2.0
URS,20.776668950915337,30.0
RUS,1.5608495293417946,0.0
