,Predicted gold medals,Actual gold medals
AUS,1.4042003164067864,0.0
BRA,0.1696995962120127,0.0
CAN,0.9826877671293914,1.0
DEN,0.6072229387355037,0.0
FIN,5.183433641213924,7.0
FRA,5.759351652581245,7.0
GER,17.24058950645849,33.0
GBR,5.218208593083546,4.0
HUN,7.392657057964243,10.0
IRI,0.194102851790376,0.0
ITA,7.1684627493377775,8.0
JPN,4.30127561208792,6.0
NED,3.622672419762239,6.0
NZL,0.9333948080311529,1.0
KOR,0.27710307377856225,0.0
ESP,0.3035184244508855,0.0
USA,24.0264955307357,24.0
CHN,1.4680152907967567,0.0
ARG,1.2906659989384934,2.0
AUT,2.1068041829566937,4.0
BEL,0.3566623537626583,0.0
BUL,0.3951266687945463,0.0
CUB,0.5723243994289078,0.0
GRE,0.275027412106283,0.0
IND,0.7086979511368554,1.0
JAM,0.2615318102762103,0.0
MEX,0.08639543183380738,0.0
NOR,1.0424129203893244,1.0
POL,0.5931393538194243,0.0
POR,0.04321106965653598,0.0
ROU,0.5715589394094422,0.0
RSA,0.3053841150831431,0.0
SWE,5.688850245438516,6.0
SUI,1.102562983171083,1.0
TUR,1.0646786284050904,1.0
URS,2.968266454176046,0.0
RUS,1.2144346738932654,0.0
