,Predicted gold medals,Actual gold medals
AUS,12.591572342440486,17.0
BRA,3.1383530962630175,5.0
CAN,2.884821382118389,3.0
DEN,2.5197046870016493,2.0
FIN,2.3791549700545147,0.0
FRA,10.71362756472081,11.0
GER,12.829739026725292,13.0
GBR,11.44702346296981,9.0
HUN,8.434855619329028,8.0
IRI,1.4493788754334673,2.0
ITA,10.927707218565047,10.0
JPN,12.83697993378155,16.0
NED,4.61103048583027,4.0
NZL,2.538904055370949,3.0
KOR,7.017378754157107,9.0
ESP,2.4781419628998265,3.0
USA,40.96798159694299,36.0
CHN,23.795092322397977,32.0
ARG,1.3053270837990567,2.0
AUT,1.5978940121713094,2.0
BEL,1.223502684966661,1.0
BUL,1.9325805963017046,2.0
CUB,6.195419469848275,9.0
GRE,3.723484167829156,6.0
IND,0.24810699274530634,0.0
JAM,1.6553401798009872,2.0
MEX,0.16927034489344805,0.0
NOR,4.247710969881155,5.0
POL,2.7172983635682613,3.0
POR,0.08575413248036057,0.0
ROU,5.09744100284297,8.0
RSA,1.1582034677267075,1.0
SWE,5.870590126141906,4.0
SUI,1.4841857329010963,1.0
TUR,2.2200216071214527,3.0
URS,5.855635627638549,0.0
RUS,17.42682759463787,28.0
