,Predicted gold medals,Actual gold medals
AUS,13.453147582011297,17.0
BRA,3.917366923909867,7.0
CAN,5.019345872919075,7.0
DEN,3.1486515285796486,3.0
FIN,2.415464693447575,0.0
FRA,10.697039273567498,10.0
GER,10.87488403962925,10.0
GBR,18.86557309841737,22.0
HUN,7.489320065127686,6.0
IRI,1.7413864936679602,3.0
ITA,10.694953657221049,10.0
JPN,17.947996146278456,26.0
NED,7.589812991209328,10.0
NZL,4.688151251815725,7.0
KOR,5.228004865435651,6.0
ESP,2.0494588268338703,3.0
USA,43.66794190532528,39.0
CHN,26.88838954200037,38.0
ARG,0.4426395824411884,0.0
AUT,1.0443080668337643,1.0
BEL,2.3669343794172164,3.0
BUL,2.2856999082141556,3.0
CUB,5.061530148494057,7.0
GRE,1.6623322959057987,2.0
IND,0.6499251133063808,1.0
JAM,3.112261176109314,4.0
MEX,0.17537465848727152,0.0
NOR,3.275227336329408,4.0
POL,3.255897277238546,4.0
POR,0.6787934136809781,1.0
ROU,1.7893279884010553,1.0
RSA,1.2898892918601632,1.0
SWE,5.503330284962431,3.0
SUI,2.831203311216086,3.0
TUR,1.528822388034314,2.0
URS,5.928064506850205,0.0
RUS,2.4644483202137053,0.0
