,Predicted gold medals,Actual gold medals
AUS,3.041268864646554,3.0
BRA,0.15022739741834812,0.0
CAN,1.6168291228823364,2.0
DEN,0.5102016880409792,0.0
FIN,4.234543159138411,5.0
FRA,7.22893056133762,10.0
GER,4.140659024007618,3.0
GBR,5.033506162697449,4.0
HUN,5.235121326637454,6.0
IRI,0.19308652798645198,0.0
ITA,9.635631158249453,12.0
JPN,4.593621854437515,7.0
NED,2.1651814181823283,2.0
NZL,0.3730769913527183,0.0
KOR,0.2546691511524841,0.0
ESP,0.24188132520066574,0.0
USA,31.49930865271017,41.0
CHN,1.4512027674354613,0.0
ARG,1.7285435342928395,3.0
AUT,0.6111165187030565,1.0
BEL,0.3420950668223668,0.0
BUL,0.36635068646864966,0.0
CUB,0.5627328559057787,0.0
GRE,0.2851079663960263,0.0
IND,0.7076816273329314,1.0
JAM,0.2615318102762103,0.0
MEX,0.07877301430562511,0.0
NOR,0.4905066955834627,0.0
POL,1.6046954912890214,2.0
POR,0.04321106965653598,0.0
ROU,0.5032071286113933,0.0
RSA,1.2766961276065558,2.0
SWE,6.136221772059798,9.0
SUI,0.5340074660489336,0.0
TUR,0.4599506374797784,0.0
URS,2.701725334045477,0.0
RUS,1.2118993764743209,0.0
