,Predicted gold medals,Actual gold medals
AUS,7.866440615616739,9.0
BRA,2.047993221145589,3.0
CAN,2.8189433445222676,3.0
DEN,3.532571043644566,4.0
FIN,2.9470303419511765,1.0
FRA,12.122326833195984,15.0
GER,16.3004214707762,20.0
GBR,6.295526611618698,1.0
HUN,7.7904160937760025,7.0
IRI,0.9644476702669635,1.0
ITA,12.3158368319273,13.0
JPN,5.005029555177316,3.0
NED,4.22889970196411,4.0
NZL,2.154472549445927,3.0
KOR,5.528642815886997,7.0
ESP,3.430699552758597,5.0
USA,44.693431918974966,44.0
CHN,13.260240168776363,16.0
ARG,0.3924381621181965,0.0
AUT,0.5638398420996964,0.0
BEL,1.5888072956586257,2.0
BUL,2.47780378931202,3.0
CUB,6.299326058127917,9.0
GRE,2.4613986937329173,4.0
IND,0.2454391431529075,0.0
JAM,1.0130584686994553,1.0
MEX,0.12122601247392595,0.0
NOR,2.515652183443308,2.0
POL,4.418799011036754,7.0
POR,0.6179541168967262,1.0
ROU,3.5208272277377546,4.0
RSA,2.3732186499983072,3.0
SWE,4.661419626325369,2.0
SUI,3.420777661493048,4.0
TUR,2.937476421473548,4.0
URS,5.346886980812997,0.0
RUS,15.304716126061976,26.0
