,Predicted gold medals,Actual gold medals
AUS,13.735075702192262,18.0
BRA,2.2808091653569136,3.0
CAN,5.970906632486731,9.0
DEN,2.5320115456706844,2.0
FIN,2.406753351679072,0.0
FRA,13.662253356538713,16.0
GER,11.763297071214765,11.0
GBR,14.274673270992935,13.0
HUN,7.183467202587053,6.0
IRI,2.1961015245178714,3.0
ITA,12.679179458413273,12.0
JPN,13.022431468125433,20.0
NED,9.648969071917236,15.0
NZL,5.575202004809398,10.0
KOR,8.497273532761028,13.0
ESP,3.707730767840985,5.0
USA,42.741385902045295,39.0
CHN,25.294342526001856,40.0
ARG,0.996159978560172,1.0
AUT,1.5428871779004112,2.0
BEL,2.647994751081569,3.0
BUL,2.4661053217132576,3.0
CUB,2.3412846898427233,2.0
GRE,1.211714428383857,1.0
IND,0.2467095471220091,0.0
JAM,1.0693159997463226,1.0
MEX,0.17130936327157542,0.0
NOR,3.5213408853160217,4.0
POL,1.6510645157832187,1.0
POR,0.49491933919489384,1.0
ROU,3.095749395317398,3.0
RSA,1.2898892918601632,1.0
SWE,5.944659536005929,4.0
SUI,1.6447333642281592,1.0
TUR,0.6814243738772348,0.0
URS,5.711603116593324,0.0
RUS,2.448159765917808,0.0
