,Predicted gold medals,Actual gold medals
AUS,5.253247105050832,5.0
BRA,0.29585008524009027,0.0
CAN,1.313956425874494,1.0
DEN,1.1709397083031945,1.0
FIN,2.2380771570606157,1.0
FRA,6.481604415457696,7.0
GER,3.0451498213224113,0.0
GBR,6.576563821639866,5.0
HUN,8.27389826241415,10.0
IRI,1.2872292153770104,2.0
ITA,5.050055601866916,3.0
JPN,7.395996302366257,11.0
NED,3.1394137799507007,3.0
NZL,1.1452831946662627,1.0
KOR,0.3613816604774911,0.0
ESP,0.3642965561593883,0.0
USA,41.170672200620174,45.0
CHN,2.0531075990293175,0.0
ARG,0.28752823208924383,0.0
AUT,0.36406166496453807,0.0
BEL,0.433663491421612,0.0
BUL,1.737425648549106,2.0
CUB,0.7884675452369265,0.0
GRE,0.3654624279588461,0.0
IND,0.12665782356634736,0.0
JAM,0.32466017827391624,0.0
MEX,1.3158524475293234,3.0
NOR,1.2258469254011288,1.0
POL,3.6109271742461715,5.0
POR,0.053330696013290435,0.0
ROU,2.790706421714276,4.0
RSA,0.4560659481212497,0.0
SWE,3.6304356483742595,2.0
SUI,0.6672614701092243,0.0
TUR,1.6762889510719106,2.0
URS,19.998160248505883,29.0
RUS,1.5851588944206014,0.0
